Urls	None
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-submariner-12177.html	2012-03-09
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-day-date-12151.html	2012-03-08
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-datejust-lady-31-et-lady-datejust-12169.html	2012-03-08
http://en.worldtempus.com/article/rolex-datejust-special-edition-10089.html	2011-03-26
http://en.worldtempus.com/article/rolex-oyster-perpetual-submariner-date-7783.html	2010-03-19
http://en.worldtempus.com/article/sothebys-a-rolex-wristwatch-sells-for-chf-170-000-11315.html	2011-11-14
http://en.worldtempus.com/article/watches/auctions-and-vintage/collecting-with-phillips-bacs-et-russo-patek-rolex-and-the-others-22699.html	2016-10-20
http://en.worldtempus.com/article/events/exhibitions/ahmed-seddiqi-et-sons-rolex-participates-in-dubai-watch-week-2019-27665.html	2019-08-03
http://en.worldtempus.com/article/watches/trends-and-style/rolex-baselworld-2019-the-kingdom-of-rolex-27263.html	2019-04-10
http://en.worldtempus.com/article/rolex-explorer-ii-on-the-wrist-11188.html	2011-10-21
http://en.worldtempus.com/article/book-rolex-gallery-9753.html	2011-02-10
http://en.worldtempus.com/article/industry-news/retail/buchererrolex-rolex-x-one-hyde-park-27633.html	2019-07-26
http://en.worldtempus.com/article/watches/trends-and-style/christmas-books-christmas-by-the-book-29373.html	2020-12-01
http://en.worldtempus.com/article/rolex-oyster-perpetual-explorer-7764.html	2010-03-18
http://en.worldtempus.com/article/industry-news/people-and-interviews/michaud-the-importance-of-service-in-covid-19-times-part-1-29380.html	2020-12-09
http://en.worldtempus.com/article/rolex-basel-2010-7801.html	2010-03-20
http://en.worldtempus.com/article/industry-news/retail/arije-arije-new-partner-and-15th-store-opening-29039.html	2020-09-16
http://en.worldtempus.com/article/events/arts-and-culture/rolex-rolex-daytona-story-13239.html	2012-09-26
http://en.worldtempus.com/article/industry-news/people-and-interviews/crowning-jean-frederic-dufour-chief-executive-officer-of-rolex-19290.html	2015-05-08
http://en.worldtempus.com/article/watches/trends-and-style/hans-wilsdorf-foundation-it-takes-different-strokes-to-move-the-world-29364.html	2020-11-30
http://en.worldtempus.com/article/livre-collecting-rolex-milgauss-explorer-i-explorer-ii-10947.html	2011-09-03
http://en.worldtempus.com/article/rolex-50th-anniversary-of-piccards-bathyscaphe-deep-dive-7424.html	2010-01-25
http://en.worldtempus.com/article/industry-news/people-and-interviews/from-zenith-to-rolex-the-giant-leap-of-jean-frederic-dufour-17072.html	2014-04-15
http://en.worldtempus.com/article/rolex-crowns-tom-kristensen-as-new-ambassador-8404.html	2010-06-22
http://en.worldtempus.com/article/rolex-gian-riccardo-marini-new-ceo-10379.html	2011-05-04
http://en.worldtempus.com/article/rolex-the-mentors-and-their-proteges-8590.html	2010-07-26
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-phillips-in-association-with-bacs-et-russo-offers-two-important-wristwatches-29251.html	2020-11-01
http://en.worldtempus.com/article/rolex-wimbledon-and-the-crown-10675.html	2011-06-30
http://en.worldtempus.com/article/book-collecting-rolex-gmt-master-10716.html	2011-07-11
http://en.worldtempus.com/article/book-rolex-collector-starter-9953.html	2011-03-12
http://en.worldtempus.com/article/watches/trends-and-style/rolex-sky-dweller-12218.html	2012-03-12
http://en.worldtempus.com/article/watches/auctions-and-vintage/auction-in-geneva-world-record-for-a-rolex-wristwatch-23983.html	2017-05-16
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-a-record-setting-year-29444.html	2020-12-20
http://en.worldtempus.com/article/rolex-big-winner-at-estoril-open-12577.html	2012-05-10
http://en.worldtempus.com/article/industry-news/brands/obituary-passing-of-patrick-heiniger-14084.html	2013-03-06
http://en.worldtempus.com/article?brand=Rolex	2014-09-09
http://en.worldtempus.com/article/exhibition-counterfeit-rolex-with-the-head-of-saddam-hussein-6146.html	2009-07-30
http://en.worldtempus.com/article/watches/auctions-and-vintage/christies-important-watches-14685.html	2013-04-10
http://en.worldtempus.com/article/watches/innovation-and-technology/certifications-whats-the-difference-between-a-chronometer-and-a-superlative-chronometer-26253.html	2018-08-03
http://en.worldtempus.com/article/sothebys-paul-newman-rolex-sell-for-chf-464500---9178.html	2010-11-15
http://en.worldtempus.com/article/events/sport/monte-carlo-rolex-masters-which-are-the-top-ten-watches-in-tennis--21453.html	2016-04-10
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-the-milestones-rolex-auction-22977.html	2016-11-30
http://en.worldtempus.com/article/industry-news/people-and-interviews/watch-collector-crazy-rich-watches-27953.html	2019-10-21
http://en.worldtempus.com/article/watches/trends-and-style/bucherer-the-end-of-year-top-5-29227.html	2020-10-29
http://en.worldtempus.com/article/watches/trends-and-style/a-lemeraude-a-lemeraude-a-different-approach-to-exceptional-vintage-watches-29394.html	2020-12-09
http://en.worldtempus.com/article/industry-news/retail/michaud-at-your-service-29358.html	2020-11-27
http://en.worldtempus.com/article/livre-collecting-rolex-milgauss-explorer-i-explorer-ii-10947.html	2011-09-03
http://en.worldtempus.com/article/events/sport/monte-carlo-rolex-masters-stan-wawrinka-and-his-audemars-piguet-royal-oak-offshore-diver-21451.html	2016-04-11
http://en.worldtempus.com/article/industry-news/retail/michaud-at-your-service-29358.html	2020-11-27
http://en.worldtempus.com/article/antiquorum-patek-philippe-et-rolex-timepieces-11218.html	2011-10-27
http://en.worldtempus.com/article/industry-news/people-and-interviews/michaud-the-importance-of-service-in-covid-19-times-part-2-29382.html	2020-12-16
http://en.worldtempus.com/article/events/arts-and-culture/carl-f-bucherer-interview-of-peter-knogl-29396.html	2020-12-22
http://en.worldtempus.com/watches-shops	2014-09-09
http://en.worldtempus.com/article/events/sport/monte-carlo-rolex-masters-david-ferrer-bovet-1822-ambassador-21464.html	2016-04-12
http://en.worldtempus.com/article/industry-news/people-and-interviews/watch-collector-crazy-rich-watches-27953.html	2019-10-21
http://en.worldtempus.com/article/watches/innovation-and-technology/certifications-whats-the-difference-between-a-chronometer-and-a-superlative-chronometer-26253.html	2018-08-03
http://en.worldtempus.com/article/industry-news/brands/watchbox-the-art-of-enjoying-the-confinement-29392.html	2020-12-14
http://en.worldtempus.com/article/style-their-crowned-timepieces-10118.html	2011-03-26
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-x-bacs-et-russo-chf-38-million-in-watch-auctions-29296.html	2020-11-14
http://en.worldtempus.com/article/watches/auctions-and-vintage/editorial-under-the-hammer-the-rolex-that-belonged-to-the-secret-love-child-of-marilyn-monroe-and-jfk-26203.html	2018-07-23
http://en.worldtempus.com/article/watches/trends-and-style/trends-the-tool-watch-29473.html	2021-01-06
http://en.worldtempus.com/article/events/sport/monte-carlo-rolex-masters-novak-djokovic-has-a-weakness-for-the--astron-gps-solar-dual-time-21463.html	2016-04-14
http://en.worldtempus.com/article/watches/trends-and-style/regatta-watches-five-top-regatta-watches-to-sail-through-summer-29016.html	2020-09-02
http://en.worldtempus.com/watch-brand/faberge-370	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage-5?brand=Rolex	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/watch-auction-the-hong-kong-watch-auction--x-28776.html	2020-06-09
http://en.worldtempus.com/article/watches/trends-and-style-4?brand=Rolex	2014-09-09
http://en.worldtempus.com/article/events/sport/monte-carlo-rolex-masters-rafael-nadal-and-his-rm-27-02-21476.html	2016-04-13
http://en.worldtempus.com/article/events/arts-and-culture/swiss-national-day-swiss-ified-28938.html	2020-07-31
http://en.worldtempus.com/article/industry-news/retail/arije-arije-an-immersive-experience-29236.html	2020-11-12
http://en.worldtempus.com/article/events/exhibitions/phillips-x-bacs-et-russo-highlights-from-the-hong-kong-watch-auction-xi-29218.html	2020-10-31
http://en.worldtempus.com/article/watches/innovation-and-technology-3?brand=Rolex	2014-09-09
http://en.worldtempus.com/article/events/arts-and-culture/time-zone-watches-myths-and-beliefs-about-gmt-28941.html	2020-08-10
http://en.worldtempus.com/article/watches/trends-and-style/deep-diving-how-watches-conquered-the-ocean-depths-29053.html	2020-09-21
http://en.worldtempus.com/article/events/arts-and-culture/marketing-a-novel-device-2-13033.html	2012-08-27
http://en.worldtempus.com/feature/the-millennium-watch-book-48	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-for-a-few-million-more-20144.html	2015-09-24
http://en.worldtempus.com/article/watches/trends-and-style/watchbox-cpo-comes-of-age-29313.html	2020-12-16
http://en.worldtempus.com/watches/traversetolo-hope-22130.html	2014-09-09
http://en.worldtempus.com/article/industry-news/business/fhs-1500-internet-users-under-the-microscope-12556.html	2012-05-07
http://en.worldtempus.com/article/watches/auctions-and-vintage/auction-myths-and-legends-of-fine-watchmaking-17132.html	2014-04-30
http://en.worldtempus.com/article/antiquorum-patek-philippe-ref-3974-sets-new-record-7098.html	2009-12-16
http://en.worldtempus.com/watch-brand/bulgari-37	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/christies-icons-of-watch-making-16024.html	2013-11-01
http://en.worldtempus.com/watches-shop/arije-6	2014-09-09
http://en.worldtempus.com/watches-shop/michaud-3	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/collecting-vintage-value-equation-3-13027.html	2012-08-16
http://en.worldtempus.com/article/industry-news/people-and-interviews/longines-mikaela-shiffrin-at-the-headquarters-25918.html	2018-05-09
http://en.worldtempus.com/article/industry-news/retail/a-lemeraude-a-gem-of-swiss-watch-retail-28147.html	2019-12-16
http://en.worldtempus.com/watches/serpenti-seduttori-tourbillon-white-gold-22215.html	2014-09-09
http://en.worldtempus.com/article/industry-news/people-and-interviews/fine-watch-club-collector-portrait-28571.html	2020-04-22
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-what-happens-in-geneva-doesnt-stay-in-geneva-19733.html	2015-07-14
http://en.worldtempus.com/article/events/exhibitions/baselworld-breitling-leaves-27280.html	2019-04-14
http://en.worldtempus.com/article/industry-news/people-and-interviews/research-the-most-sought-after-vintage-watches-18323.html	2014-12-08
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-a-patek-philippe-watch-sells-for-sfr-46-million-19297.html	2015-05-11
http://en.worldtempus.com/article/watches/van-cleef-et-arpels-one-year-one-watch-28973.html	2020-08-31
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-antiquorums-geneva-may-watch-sales-results-19311.html	2015-05-12
http://en.worldtempus.com/article/events/sport-13?brand=Rolex	2014-09-09
http://en.worldtempus.com/watches/roma-12149.html	2014-09-09
http://en.worldtempus.com/author/serge-panczuk-49	2014-09-09
http://en.worldtempus.com/article/gmt-bestsellers-11373.html	2011-11-27
http://en.worldtempus.com/article/events/arts-and-culture/gmt-magazine-20-years-in-watchmaking-2003-28653.html	2020-05-11
http://en.worldtempus.com/article/watches/trends-and-style/selection-pilots-watches-16371.html	2014-01-03
http://en.worldtempus.com/watches/serpenti-seduttori--pink-gold-and-diamonds-21046.html	2014-09-09
http://en.worldtempus.com/article/christies-sale-results-8165.html	2010-05-12
http://en.worldtempus.com/article/chronicle-to-buy-vintage-or-not-to-buy-vintage-6046.html	2009-07-08
http://en.worldtempus.com/article/industry-news/people-and-interviews/swatch-group-raynald-aeschlimann-new-president-of-omega-21445.html	2016-04-08
http://en.worldtempus.com/article/watches/innovation-and-technology/acrotec-objective--independence-and-complementarity-25522.html	2018-02-26
http://en.worldtempus.com/article/industry-news/retail/atmosphere-for-the-love-of-watchmaking-24867.html	2017-10-22
http://en.worldtempus.com/article/watches/trends-and-style/chopard-happy-sport-joaillerie-29148.html	2020-10-17
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-geneva-the-geneva-may-auctions-totalled-chf-32548000-21730.html	2016-05-20
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-hong-kong-watch-auction--seven-26663.html	2018-11-04
http://en.worldtempus.com/watches/scafograf-300-22131.html	2014-09-09
http://en.worldtempus.com/article/industry-news/business/bestsellers-the-best-sales-of-iconic-brands-12072.html	2012-03-01
http://en.worldtempus.com/article/industry-news/business/vontobel-watch-industry-report-beware-the-soothsayers-21524.html	2016-04-20
http://en.worldtempus.com/article/events/arts-and-culture/gmt-magazine-2007-expansion-on-a-roll-28800.html	2020-06-17
http://en.worldtempus.com/article/watches/innovation-and-technology/lacquer-enamel-et-porcelain-the-war-of-whites-21856.html	2016-06-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/sothebys-saturday-watch-fever-in-geneva-14736.html	2013-04-18
http://en.worldtempus.com/article/industry-news/retail/watches-the-best-boutiques-in-switzerland-28143.html	2019-12-12
http://en.worldtempus.com/article/industry-news/retail/michaud-three-faces-of-the-sports-watch-28835.html	2020-06-26
http://en.worldtempus.com/watches/classico-manara-19975.html	2014-09-09
http://en.worldtempus.com/watches/piccola-lucea-14600.html	2014-09-09
http://en.worldtempus.com/watches/laureato-34-16130.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/de-bethune-moonrise-in-dubai-28073.html	2019-11-21
http://en.worldtempus.com/article/baselworld-expectations-10038.html	2011-03-22
http://en.worldtempus.com/article/antiquorum-first-spring-auction-in-geneva-5274.html	2009-03-04
http://en.worldtempus.com/lexique/cabinotier-80.html	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-long-live-horological-variety-17325.html	2014-06-03
http://en.worldtempus.com/article/events/arts-and-culture/grand-seiko-the-grand-seiko-studio-shizukuishi-opens-its-doors-28927.html	2020-07-25
http://en.worldtempus.com/article/watches/innovation-and-technology/urban-jurgensen-a-case-in-point-the-jurgensen-one-27398.html	2019-05-22
http://en.worldtempus.com/article/watches/auctions-and-vintage/geneva-watch-auctions-the-stress-test-18180.html	2014-11-14
http://en.worldtempus.com/article/history-watches-under-water-13235.html	2007-09-24
http://en.worldtempus.com/article/watches/innovation-and-technology/why-not-nato-bund-or-mesh-18308.html	2014-12-05
http://en.worldtempus.com/watches/scafograf-gmt-the-black-sheep-18651.html	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-new-sales-records-25945.html	2018-05-16
http://en.worldtempus.com/article/christies-unknown-patek-philippe-wristwatch-11199.html	2011-10-24
http://en.worldtempus.com/article/watches/auctions-and-vintage/christies-a-patek-philippe-belonging-to-eric-clapton-13272.html	2012-09-28
http://en.worldtempus.com/article/watches/auctions-and-vintage/antiquorum-important-modern-et-vintage-timepieces-19252.html	2015-05-03
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-the-geneva-watch-auction-eight-26746.html	2018-11-23
http://en.worldtempus.com/watch-brands/jewellery-watch-brands-348	2014-09-09
http://en.worldtempus.com/article/antiquorum-a-rare-greubel-forsey-watch-7570.html	2010-02-18
http://en.worldtempus.com/watches/classico-40-mm-year-of-the-rat-21444.html	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/auction-impressive-modern-wristwatches-14992.html	2013-05-14
http://en.worldtempus.com/article/internet-dominated-by-members-of-an-exclusive-club-6136.html	2009-08-04
http://en.worldtempus.com/article/watches/trends-and-style/ralph-lauren-the-western-watch-collection-26665.html	2018-11-05
http://en.worldtempus.com/article/industry-news/retail/vintage-welcome-to-chadi-luxury-27595.html	2019-07-16
http://en.worldtempus.com/article/history-watches-under-water-13235.html	2007-09-24
http://en.worldtempus.com/article/watches/innovation-and-technology/why-not-nato-bund-or-mesh-18308.html	2014-12-05
http://en.worldtempus.com/watches/scafograf-gmt-the-black-sheep-18651.html	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-new-sales-records-25945.html	2018-05-16
http://en.worldtempus.com/article/watches/trends-and-style/selection-iconic-watches-16321.html	2013-12-30
http://en.worldtempus.com/article/christies-unknown-patek-philippe-wristwatch-11199.html	2011-10-24
http://en.worldtempus.com/article/watches/auctions-and-vintage/christies-a-patek-philippe-belonging-to-eric-clapton-13272.html	2012-09-28
http://en.worldtempus.com/article/watches/auctions-and-vintage/antiquorum-important-modern-et-vintage-timepieces-19252.html	2015-05-03
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-the-geneva-watch-auction-eight-26746.html	2018-11-23
http://en.worldtempus.com/watch-brands/jewellery-watch-brands-348	2014-09-09
http://en.worldtempus.com/article/antiquorum-a-rare-greubel-forsey-watch-7570.html	2010-02-18
http://en.worldtempus.com/article/watches/auctions-and-vintage/auction-impressive-modern-wristwatches-14992.html	2013-05-14
http://en.worldtempus.com/article/internet-dominated-by-members-of-an-exclusive-club-6136.html	2009-08-04
http://en.worldtempus.com/article/watches/trends-and-style/ralph-lauren-the-western-watch-collection-26665.html	2018-11-05
http://en.worldtempus.com/article/industry-news/retail/vintage-welcome-to-chadi-luxury-27595.html	2019-07-16
http://en.worldtempus.com/article/phillips-winning-icons--legendary-watches-of-the-20th-century-24740.html	2017-09-30
http://en.worldtempus.com/watches/tonda-1950-clarity-14885.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/trend-tool-watches-whats-the-big-appeal-28266.html	2020-01-28
http://en.worldtempus.com/article/industry-news/people-and-interviews/seiko-shinji-hattori-21658.html	2016-01-06
http://en.worldtempus.com/article/watches/innovation-and-technology/watch-education-understanding-the-use-of-rubies-13737.html	2013-01-02
http://en.worldtempus.com/article/industry-news/people-and-interviews/panerai-panerai-x-watchfinder-et-co-29457.html	2020-12-23
http://en.worldtempus.com/watches-shop/bucherer-2	2014-09-09
http://en.worldtempus.com/article/industry-news/business/antiquorum-elvis-presleys-omega-watch-in-auction-12704.html	2012-06-06
http://en.worldtempus.com/article/events/arts-and-culture-12?brand=rolex&type=&year=	2014-09-09
http://en.worldtempus.com/article/industry-news/people-and-interviews/phillips-an-interview-with-aurel-bacs-21848.html	2016-06-09
http://en.worldtempus.com/article/corum-ben-ainslie-neville-crichton-the-wining-team-6348.html	2009-09-16
http://en.worldtempus.com/article/watches-and-formula-1-no-changes-on-the-grid-for-watchmakers-23669.html	2017-03-25
http://en.worldtempus.com/article/prices-increase-have-watches-become-too-expensive-again-9819.html	2011-02-23
http://en.worldtempus.com/article/industry-news/people-and-interviews/chanel-charlotte-casiraghi-29462.html	2020-12-24
http://en.worldtempus.com/author/yannick-nardin-159	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/sport-watches-the-lastest-models-brand-by-brand-12986.html	2012-08-08
http://en.worldtempus.com/article/industry-news/retail/michaud-new-partner-boutique-28100.html	2019-11-29
http://en.worldtempus.com/article?page=65&bra22000000nd=Zenith	2014-09-09
http://en.worldtempus.com/article/industry-news/business/patek-philippe-graves-pieces-auctioned-by-sothebys-12738.html	2012-06-13
http://en.worldtempus.com/article/carl-f-bucherer-shop-in-shop-at-zurich-airport-9959.html	2011-03-14
http://en.worldtempus.com/article/patrizzi-et-co-auction-in-geneva-7-may-2010-7948.html	2010-05-07
http://en.worldtempus.com/article/antiquorum-important-modern-and-vintage-timepieces-9042.html	2010-10-25
http://en.worldtempus.com/article/industry-news/retail/a-lemeraude-lausannes-family-run-fine-watch-store-26727.html	2018-11-20
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-buy-a-patek-philippe-from-80-swiss-francs-this-weekend-in-geneva-27358.html	2019-05-10
http://en.worldtempus.com/article/industry-news/people-and-interviews/genus-sebastien-billieres-the-free-spirit-of-watchmaking-28838.html	2020-06-27
http://en.worldtempus.com/article/antiquorum-rare-patek-philippe-timepieces-10888.html	2011-08-23
http://en.worldtempus.com/p-contact-us.html	2014-09-09
http://en.worldtempus.com/article/collecting-old-vs-new-9883.html	2011-03-01
http://en.worldtempus.com/article/industry-news/business/meccaniche-veloci-trade-in-program-28280.html	2020-01-27
http://en.worldtempus.com/article/watches/innovation-and-technology/innovation-and-technique-for-all-the-golds-in-the-world-28382.html	2020-03-05
http://en.worldtempus.com/article/industry-news/business/the-top-ten-the-top-ten-swiss-watch-brands-17749.html	2014-09-09
http://en.worldtempus.com/author/olivier-muller-14	2014-09-09
http://en.worldtempus.com/watches-shop/a-lemeraude-1	2014-09-09
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-geneva-watch-auction--eight-26563.html	2018-10-16
http://en.worldtempus.com/article/watches/auctions-and-vintage/auctions-the-geneva-watch-auctions--lots-to-watch-19284.html	2015-05-08
http://en.worldtempus.com/article/exhibition-counterfeit-rolex-with-the-head-of-saddam-hussein-6146.html	2009-07-30
http://en.worldtempus.com/article/watches/trends-and-style/piaget-video-altiplano-gold-bracelet-19462.html	2015-06-05
http://en.worldtempus.com/article/neo-vintage-watches-hard-to-fix-a-price-6592.html	2009-10-27
http://en.worldtempus.com/article/watches/trends-and-style/piaget-video-jessica-chastain-presents-the-limelight-gala-21809.html	2016-06-02
http://en.worldtempus.com/article/auction-in-geneva-new-world-record-for-patek-philippe-ref-2497-in-geneva-23999.html	2017-05-18
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-the-authentic-paul-newman-watch-will-be-auctioned-24427.html	2017-08-04
http://en.worldtempus.com/article/industry-news/business/sothebys-historical-timepieces-strong-interest-12616.html	2012-05-18
http://en.worldtempus.com/watches/traversetolo-22127.html	2014-09-09
http://en.worldtempus.com/article/antiquorum-edmund-hillarys-family-feud-over-watch-sale-9171.html	2010-11-12
http://en.worldtempus.com/article/watches/trends-and-style/piaget-video-the-piaget-polo-s-game-changers-mohammed-sultan-al-habtoor-22585.html	2016-10-03
http://en.worldtempus.com/article/industry-news/people-and-interviews/whats-next-an-interview-with-a-very-young-watch-collector-18461.html	2015-01-08
http://en.worldtempus.com/article/industry-news/business/industrie-worldwatchreport-2012-12134.html	2012-03-07
http://en.worldtempus.com/article/watches/innovation-and-technology/seiko-video-credor-tourbillon-fugaku-22464.html	2016-09-13
http://en.worldtempus.com/article/industry-news/retail/a-lemeraude-service-that-stands-out-26817.html	2018-12-14
http://en.worldtempus.com/article/events/sport/tennis-et-timepieces-wheres-the-champions-watch-13162.html	2012-09-14
http://en.worldtempus.com/article/watches/auctions-and-vintage/phillips-the-geneva-watch-auction--five-23728.html	2017-04-01
http://en.worldtempus.com/article/auction-new-world-record-set-in-new-york--24896.html	2017-10-29
http://en.worldtempus.com/article/watches/auctions-and-vintage/christies-the-important-watches-sale-in-geneva-realises-us26508102-17220.html	2014-05-14
http://en.worldtempus.com/article/christies-watch-sale-totalling-us-291-million-11329.html	2011-11-15
http://en.worldtempus.com/article/watches/auctions-and-vintage/geneva-watch-auction-phillips-achieves-chf-326-million-during-the-geneva-watch-auction-23991.html	2017-05-17
http://en.worldtempus.com/article/events/sport/tennis-et-timepieces-watching-wimbledon-12905.html	2012-07-20
http://en.worldtempus.com/article/antiquorum-december-9th-auction-in-new-york-6946.html	2009-11-24
http://en.worldtempus.com/article/watches/auctions-and-vintage/collecting-vintage-value-equation-4-13031.html	2012-08-20
http://en.worldtempus.com/article/watches/trends-and-style/piaget-video-the-piaget-polo-s-game-changers-david-goffin-22780.html	2016-11-01
http://en.worldtempus.com/article/watches/trends-and-style/patek-philippe-pilots-and-politeness-29422.html	2021-01-08
http://en.worldtempus.com/article/industry-news/people-and-interviews/arnold-et-son-a-luxury-watch-that-everyone-can-buy-is-no-longer-a-luxury-watch-26044.html	2018-06-11
http://en.worldtempus.com/article/events/arts-and-culture/advent-calendar-here-are-the-winners-29477.html	2021-01-09
